1F02 I  658   748 PF02369 P19809   0.00000   0.11765   0.17647   0.00000   0.11765   0.00000   0.17647   0.11765   0.05882   0.00000   0.05882   0.11765   0.00000   0.00000   0.00000   0.00000   0.05882   0.00000   0.00000   0.00000   0
1B4R A    8    79 PF00801 P98161   0.14286   0.35714   0.00000   0.00000   0.21429   0.07143   0.00000   0.07143   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.07143   0.00000   0.00000   0.07143   0.00000   0
1OP4 A   31   121 PF08758 P15116   0.05556   0.11111   0.16667   0.00000   0.05556   0.05556   0.00000   0.05556   0.05556   0.05556   0.11111   0.05556   0.00000   0.00000   0.00000   0.05556   0.05556   0.00000   0.00000   0.11111   0
2D9Q B    3    87 PF06328 Q99062   0.06667   0.13333   0.00000   0.20000   0.00000   0.06667   0.13333   0.00000   0.00000   0.06667   0.06667   0.06667   0.00000   0.13333   0.00000   0.00000   0.00000   0.00000   0.06667   0.00000   0
4ZPS A    1    83 PF08266 Q91XY0   0.11111   0.05556   0.11111   0.05556   0.00000   0.22222   0.05556   0.00000   0.11111   0.05556   0.00000   0.00000   0.05556   0.00000   0.00000   0.00000   0.05556   0.00000   0.00000   0.11111   0
1WYJ A   12    94 PF08266 Q6PB90   0.11111   0.05556   0.00000   0.05556   0.16667   0.16667   0.05556   0.00000   0.11111   0.05556   0.11111   0.05556   0.00000   0.00000   0.00000   0.00000   0.05556   0.00000   0.00000   0.00000   0
4ZI9 A    2    84 PF08266 Q91XZ0   0.11111   0.11111   0.05556   0.05556   0.00000   0.27778   0.00000   0.05556   0.05556   0.00000   0.00000   0.00000   0.05556   0.00000   0.00000   0.05556   0.05556   0.00000   0.00000   0.11111   0
1WUZ A    4    86 PF08266 O88689   0.11765   0.05882   0.00000   0.11765   0.05882   0.05882   0.05882   0.00000   0.11765   0.05882   0.00000   0.00000   0.05882   0.00000   0.00000   0.11765   0.05882   0.00000   0.05882   0.05882   0
4ZI8 B    2    84 PF08266 Q91XX1   0.11111   0.00000   0.05556   0.05556   0.05556   0.00000   0.00000   0.00000   0.22222   0.16667   0.00000   0.00000   0.00000   0.00000   0.00000   0.11111   0.05556   0.05556   0.05556   0.05556   0
4ZPQ A    1    83 PF08266 Q91XW9   0.11765   0.17647   0.05882   0.00000   0.17647   0.23529   0.05882   0.00000   0.05882   0.00000   0.00000   0.00000   0.05882   0.00000   0.00000   0.00000   0.05882   0.00000   0.00000   0.00000   0
3VI4 C  448   597 PF08441 P08648   0.00000   0.06250   0.00000   0.06250   0.31250   0.18750   0.00000   0.06250   0.00000   0.00000   0.06250   0.00000   0.12500   0.06250   0.06250   0.00000   0.00000   0.00000   0.00000   0.00000   0
